solution status: user interrupt
objective value:                    0.451345158720339
m                                   0.451345158720339 	(obj:1)
x_1_1                                               1 	(obj:0)
x_2_0                              -0.296336990013852 	(obj:0)
x_1_0                            -3.15377701892457e-05 	(obj:0)
x_2_1                               -0.95296897510963 	(obj:0)
x_0_0                                               1 	(obj:0)
x_2_2                              0.0635183346569304 	(obj:0)
x_3_0                              -0.984122483219674 	(obj:0)
x_3_1                              0.0988462717819463 	(obj:0)
x_3_2                              -0.147418972077007 	(obj:0)
x_4_0                              -0.725136584786399 	(obj:0)
x_4_1                             -0.0781433603181347 	(obj:0)
x_4_2                               0.684156839046696 	(obj:0)
x_5_0                               0.260163476355234 	(obj:0)
x_5_1                              -0.892297585142878 	(obj:0)
x_5_2                               0.368944420630592 	(obj:0)
nlreform0                           0.451340088210167 	(obj:0)
nlreform1                            1.55566219210625 	(obj:0)
nlreform2                           0.936168764929812 	(obj:0)
nlreform3                           0.837330510700566 	(obj:0)
nlreform4                            0.33404989149179 	(obj:0)
nlreform5                           0.517316057363335 	(obj:0)
nlreform6                         -0.0203300482744455 	(obj:0)
nlreform7                            1.42433646860227 	(obj:0)
nlreform8                           0.451325926507456 	(obj:0)
nlreform9                           0.900987345045256 	(obj:0)
nlreform10                            0.7261978945612 	(obj:0)
nlreform11                          0.229538908864957 	(obj:0)
nlreform12                          0.732820752923143 	(obj:0)
nlreform13                           0.47635298939746 	(obj:0)
nlreform14                          0.451340079617753 	(obj:0)
nlreform15                           1.55566219210625 	(obj:0)
nlreform16                          0.837329527397126 	(obj:0)
nlreform17                           0.33404989149179 	(obj:0)
nlreform18                          0.517316057363335 	(obj:0)
nlreform19                        -0.0203300482744455 	(obj:0)
nlreform20                           1.55566256678606 	(obj:0)
nlreform21                          0.451325926507456 	(obj:0)
nlreform22                          0.229538908864957 	(obj:0)
nlreform23                          0.229540474916675 	(obj:0)
nlreform24                       -3.04078715803163e-06 	(obj:0)
nlreform25                        4.33427996837233e-07 	(obj:0)
nlreform26                        3.00608970496254e-05 	(obj:0)
nlreform27                       -3.04078715803168e-06 	(obj:0)
nlreform28                       -2.2345711137514e-06 	(obj:0)
nlreform29                        4.57679080840292e-06 	(obj:0)
nlreform30                        2.81908734957888e-05 	(obj:0)
nlreform31                       -3.04078715803168e-06 	(obj:0)
nlreform32                       -7.76937014257197e-07 	(obj:0)
nlreform33                        -0.0292923601191103 	(obj:0)
nlreform34                          0.937838194216197 	(obj:0)
nlreform35                          0.641629348518393 	(obj:0)
nlreform36                         0.0115200370676074 	(obj:0)
nlreform37                       -0.00341380295048261 	(obj:0)
nlreform38                        -0.0625100944499075 	(obj:0)
nlreform39                          0.106898889944642 	(obj:0)
nlreform40                        0.00627845093078892 	(obj:0)
nlreform41                       -0.00455273446570127 	(obj:0)
nlreform42                        -0.0292923601191103 	(obj:0)
nlreform43                          0.937838194216197 	(obj:0)
nlreform44                          0.346010856524847 	(obj:0)
nlreform45                          0.131540776726235 	(obj:0)
nlreform46                        -0.0389803143823099 	(obj:0)
nlreform47                        -0.0625092193775705 	(obj:0)
nlreform48                        -0.0383530322562693 	(obj:0)
nlreform49                        0.00627910753834191 	(obj:0)
nlreform50                        0.00163359444558339 	(obj:0)
nlreform51                        -0.0292923601191103 	(obj:0)
nlreform52                        3.00608970496254e-05 	(obj:0)
nlreform53                       -3.04078715803168e-06 	(obj:0)
nlreform54                       -1.95323175843258e-06 	(obj:0)
nlreform55                          0.937838194216197 	(obj:0)
nlreform56                          0.641629348518393 	(obj:0)
nlreform57                         0.0115200370676074 	(obj:0)
nlreform58                       -0.00341380295048261 	(obj:0)
nlreform59                       -1.94267323255393e-06 	(obj:0)
nlreform60                        1.88632563911446e-07 	(obj:0)
nlreform61                        4.66032419663487e-06 	(obj:0)
nlreform62                        -0.0625100944499075 	(obj:0)
nlreform63                           0.14048570673194 	(obj:0)
nlreform64                       -4.44125493748086e-06 	(obj:0)
nlreform65                        0.00627845093078892 	(obj:0)
nlreform66                          0.106898889944642 	(obj:0)
nlreform67                        -0.0716770479388288 	(obj:0)
nlreform68                        -0.0045527344654661 	(obj:0)
nlreform69                         0.0364687050862815 	(obj:0)
nlreform70                        -0.0108067098791657 	(obj:0)
nlreform71                         0.0676263546017513 	(obj:0)
nlreform72                         0.0115191948181073 	(obj:0)
nlreform73                       -0.00341355489453014 	(obj:0)
nlreform74                          0.131541877272071 	(obj:0)
nlreform75                        -0.0288307132223478 	(obj:0)
nlreform76                         -0.610471551855434 	(obj:0)
nlreform77                          0.180905897991392 	(obj:0)
nlreform78                          -0.36308645204784 	(obj:0)
nlreform79                         -0.673294586373473 	(obj:0)
nlreform80                          0.641628851923191 	(obj:0)
nlreform81                          0.106898889944642 	(obj:0)
nlreform82                        -0.0383530322562693 	(obj:0)
nlreform83                         0.0365492498416035 	(obj:0)
nlreform84                         -0.267535097152064 	(obj:0)
nlreform85                          0.254952647338858 	(obj:0)
nlreform86                          0.177992621618597 	(obj:0)
nlreform87                         0.0769023845098925 	(obj:0)
nlreform88                          0.878130260131897 	(obj:0)
nlreform89                         0.0557783130491434 	(obj:0)
nlreform90                        -0.0716770479388288 	(obj:0)
nlreform91                        -0.0045527344654661 	(obj:0)
nlreform92                         0.0257161896915454 	(obj:0)
nlreform93                          0.647037623503658 	(obj:0)
nlreform94                        -0.0203300482744455 	(obj:0)
nlreform95                        -0.0012912700044537 	(obj:0)
nlreform96                        -0.0288307132223478 	(obj:0)
nlreform97                         0.0283729736226184 	(obj:0)
nlreform98                         -0.610471494885325 	(obj:0)
nlreform99                         -0.267535097152064 	(obj:0)
nlreform100                         0.177992621618597 	(obj:0)
nlreform101                         0.017594676915466 	(obj:0)
nlreform102                         0.647037623503658 	(obj:0)
nlreform103                       -0.0953855525230308 	(obj:0)
nlreform104                       2.38610361380713e-06 	(obj:0)
nlreform105                       3.00608970496254e-05 	(obj:0)
nlreform106                       2.03944277976034e-05 	(obj:0)
nlreform107                       2.38610361380713e-06 	(obj:0)
nlreform108                      -2.16024532785158e-05 	(obj:0)
nlreform109                       1.96671370485574e-05 	(obj:0)
nlreform110                         0.106898889944642 	(obj:0)
nlreform111                       4.66032419663487e-06 	(obj:0)
nlreform112                      -4.42515735802737e-06 	(obj:0)
nlreform113                        -0.673293644070859 	(obj:0)
nlreform114                         0.600778250942824 	(obj:0)
nlreform115                      -2.15499324692497e-05 	(obj:0)
nlreform116                        -0.267535097152064 	(obj:0)
nlreform117                       -0.0264447922574249 	(obj:0)
nlreform118                      -1.15820405796007e-05 	(obj:0)
nlreform119                      -2.15499324692497e-05 	(obj:0)
nlreform120                      -1.36455457982012e-06 	(obj:0)
nlreform121                         0.177992621618597 	(obj:0)
nlreform122                        0.0769023845098925 	(obj:0)
nlreform123                       2.47220530167741e-06 	(obj:0)
nlreform124                       1.29389423775933e-06 	(obj:0)
nlreform125                       2.47117405167741e-06 	(obj:0)
nlreform126                       -0.0203300482744455 	(obj:0)
nlreform127                       0.00299765040792835 	(obj:0)
nlreform128                       2.8131920784757e-05 	(obj:0)
nlreform129                       3.00608970496254e-05 	(obj:0)
nlreform130                       1.12149477205343e-05 	(obj:0)
nlreform131                        0.0231562476871625 	(obj:0)
nlreform132                         0.691032668018392 	(obj:0)
nlreform133                         0.254952647325761 	(obj:0)
nlreform134                        -0.610471494885325 	(obj:0)
nlreform135                         0.180904758367996 	(obj:0)
nlreform136                       -0.0460594682644461 	(obj:0)
nlreform137                         0.177992621618597 	(obj:0)
nlreform138                      -0.00496376016106436 	(obj:0)
nlreform139                      -0.00129138909929612 	(obj:0)
nlreform140                        0.0676260393521577 	(obj:0)
nlreform141                        0.0115191948181073 	(obj:0)
nlreform142                         0.002996873768692 	(obj:0)
nlreform143                        -0.267535097152064 	(obj:0)
nlreform144                       -0.0264447922574249 	(obj:0)
nlreform145                         0.131540776726235 	(obj:0)
nlreform146                        0.0769023845098925 	(obj:0)
nlreform147                        -0.610471551855434 	(obj:0)
nlreform148                         0.600778988386243 	(obj:0)
nlreform149                       -0.0460594682644461 	(obj:0)
nlreform150                      -1.94267323255393e-06 	(obj:0)
nlreform151                       1.51522665309152e-06 	(obj:0)
nlreform152                        -0.202740540170337 	(obj:0)
nlreform153                         0.180904387261089 	(obj:0)
nlreform154                      -2.16024532785158e-05 	(obj:0)
nlreform155                        -0.267535097152064 	(obj:0)
nlreform156                         0.254952647338858 	(obj:0)
nlreform157                      -1.1642436842314e-05 	(obj:0)
nlreform158                      -2.15499324692497e-05 	(obj:0)
nlreform159                       2.12925519566094e-05 	(obj:0)
nlreform160                         0.177992621618597 	(obj:0)
nlreform161                        0.0231562476871625 	(obj:0)
nlreform162                       2.47220530167741e-06 	(obj:0)
nlreform163                       1.29389423775933e-06 	(obj:0)
nlreform164                       2.47117405167741e-06 	(obj:0)
nlreform165                       -0.0203300482744455 	(obj:0)
nlreform166                       -0.0012912700044537 	(obj:0)
nlreform167                      -3.04078715803168e-06 	(obj:0)
nlreform168                       4.33427996837229e-07 	(obj:0)
nlreform169                       3.01355250082274e-05 	(obj:0)
nlreform170                      -3.04078715803168e-06 	(obj:0)
nlreform171                      -2.2345711137514e-06 	(obj:0)
nlreform172                       4.57679080840292e-06 	(obj:0)
nlreform173                       -0.0292923601191103 	(obj:0)
nlreform174                         0.937838194216197 	(obj:0)
nlreform175                         0.641629348518393 	(obj:0)
nlreform176                        0.0115200370676074 	(obj:0)
nlreform177                      -0.00341380295048261 	(obj:0)
nlreform178                       -0.0625100944499075 	(obj:0)
nlreform179                         0.106898889944642 	(obj:0)
nlreform180                       0.00627845093078892 	(obj:0)
nlreform181                      -0.00455273446570127 	(obj:0)
nlreform182                       -0.0292923601191103 	(obj:0)
nlreform183                         0.937838194216197 	(obj:0)
nlreform184                         0.346010856524847 	(obj:0)
nlreform185                         0.131540776726235 	(obj:0)
nlreform186                       -0.0389803143823099 	(obj:0)
nlreform187                       -0.0625092193775705 	(obj:0)
nlreform188                       -0.0383530322562693 	(obj:0)
nlreform189                       0.00627910753834191 	(obj:0)
nlreform190                       0.00163359444558339 	(obj:0)
nlreform191                       -0.0292923601191103 	(obj:0)
nlreform192                       3.00608970496254e-05 	(obj:0)
nlreform193                      -3.04078715803168e-06 	(obj:0)
nlreform194                      -1.95323175843258e-06 	(obj:0)
nlreform195                         0.937838194216197 	(obj:0)
nlreform196                         0.641629348518393 	(obj:0)
nlreform197                        0.0115200370676074 	(obj:0)
nlreform198                      -0.00341295123524492 	(obj:0)
nlreform199                      -1.94267323255393e-06 	(obj:0)
nlreform200                       1.88632563911446e-07 	(obj:0)
nlreform201                       4.66032419663487e-06 	(obj:0)
nlreform202                       -0.0625100944499075 	(obj:0)
nlreform203                          0.14048570673194 	(obj:0)
nlreform204                      -4.44125493748086e-06 	(obj:0)
nlreform205                       0.00627845093078892 	(obj:0)
nlreform206                         0.106898889944642 	(obj:0)
